name, description, file_name, image
apple,An apple is an edible fruit produced by an apple tree,apple001.md,NULL
bamboo,Bamboo is a member of the grass family. It is a colony plant so it uses energy from this existing plant to produce more plants and expand the root structure, bamboo001.md, NULL
cotton,Cotton is a soft fluffy staple fiber that grows in a boll or protective case around the seeds of the cotton plants can contain minor percentages of waxes fats pectins and water,cotton001.md,NULL
maize,Maize (Zea mays L.) is the world’s leading crop and is widely cultivated as cereal grain. It is one of the most versatile emerging crops having wider adaptability. Globally maize is known as queen of cereals because of its highest genetic yield potential. Maize is the only food cereal crop that can be grown in diverse seasons ecologies and uses.,maize001.md,NULL
rice,As a cereal grain domesticated rice is the most widely consumed staple food for over half of the world's human population especially in Asia and Africa. It is the agricultural commodity with the third-highest worldwide production after sugarcane and maize.,rice001.md,NULL
wheat,Wheat is a grass widely cultivated for its seed.A cereal grain which is a worldwide staple food.,wheat002.md.md,NULL 
